Numer	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	tmin	tier	text	tmax	Mówca	Próbka	f1	f2	f3	f4	Max f1	Max f2	Max f3	Max f4	Min f1	Min f2	Min f3	Min f4	f1'	f2'	f3'	f4'
953836	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	1,079633	informator	a	1,116012	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	1040,091828	1707,347864	2511,400991	3902,546101	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	1	0,432421489	0,366495506	0,581610577
	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	0,318414	informator	a	0,344855	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	964,210368	1624,835253	2718,29499	3921,367331	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,897447884	0,299340853	0,75678987	0,612577252
954144	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	3,761592	informator	a	3,863643	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	869,2779144	1833,159756	2654,665068	3946,916531	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,769148771	0,63533746	0,636755457	0,654613495
	K18-2001-Niedzica-295760-304520-trYbszA,tYle,zamkU - segmenty.txt	1,106952	informator	a	1,245473	K18-2001-Niedzica	K18-2001-Niedzica-295760-304520-trYbszA,tYle,zamkU	859,9125989	1673,713583	2532,244469	3909,462027	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,756491754	0,378174369	0,405815603	0,59298939
	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	2,146602	informator	a	2,200901	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	853,1733575	1756,956363	2570,712569	3812,457301	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,747383818	0,51243266	0,478383598	0,433386969
1539448	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	5,522229	informator	a	5,592218	K18-2001-Niedzica	K18-2001-Niedzica-112570-126110-bUtY,wIgoń	817,8207069	1788,842807	2581,320295	3920,256136	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,699605492	0,563860776	0,498394501	0,610748998
1539464	K18-2001-Niedzica-448233-457670-bAbka,dÁwniej,chodzIlI - segmenty.txt	1,014442	informator	a	1,106637	K18-2001-Niedzica	K18-2001-Niedzica-448233-457670-bAbka,dÁwniej,chodzIlI	810,5742805	1793,158192	2611,023944	3932,805584	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,689812107	0,570820854	0,554428831	0,631396674
	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali - segmenty.txt	0,817773	informator	a	0,892273	K18-2001-Niedzica	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali	800,4185658	1698,331817	2507,295732	3769,236408	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,676086883	0,41787994	0,358751158	0,362275391
953836	K18-2001-Niedzica-748712-765721-tYch - segmenty.txt	10,708858	informator	a	10,770171	K18-2001-Niedzica	K18-2001-Niedzica-748712-765721-tYch	793,357197	1674,39613	2647,098459	3903,388826	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,666543599	0,379275218	0,622481456	0,582997117
1539203	K18-2001-Niedzica-276630-284600-tÉż,Jak,czy Jak,jÁ,gÁdką,sObą,gÁdały,gadaŁy - segmenty.txt	5,993918	informator	a	6,036933	K18-2001-Niedzica	K18-2001-Niedzica-276630-284600-tÉż,Jak,czy Jak,jÁ,gÁdką,sObą,gÁdały,gadaŁy	772,9156289	1756,459041	2766,413896	3996,914075	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,638917271	0,511630552	0,847563591	0,736874735
1539219	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	0,560372	informator	a	0,633491	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	769,5012383	1738,492581	2599,308597	3986,890868	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,634302798	0,482653311	0,532328461	0,720383496
	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA - segmenty.txt	4,667499	informator	a	4,744676	K18-2001-Niedzica	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA	761,566467	1793,173019	2646,240592	3986,803164	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,62357913	0,570844768	0,620863138	0,720239196
1539448	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA - segmenty.txt	3,265497	informator	a	3,322608	K18-2001-Niedzica	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA	757,498528	1611,249881	2581,366567	3743,445287	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,6180814	0,277429659	0,49848179	0,319841115
	K18-2001-Niedzica-792180-798101-tAk,kOpalI,przychodzIlI - segmenty.txt	0,722807	informator	a	0,763029	K18-2001-Niedzica	K18-2001-Niedzica-792180-798101-tAk,kOpalI,przychodzIlI	756,7474728	1750,360094	2625,092429	3862,026879	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,617066366	0,501793854	0,580968268	0,514944073
	K18-2001-Niedzica-653720-661325-wtEdy,tÉż,bAbka,zOstaje,zostaJe - segmenty.txt	5,082614	informator	a	5,154102	K18-2001-Niedzica	K18-2001-Niedzica-653720-661325-wtEdy,tÉż,bAbka,zOstaje,zostaJe	755,3916586	1762,118093	2623,298634	3879,791004	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,615234013	0,520757766	0,577584372	0,544171488
1539448	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	6,309284	informator	o	6,349845	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	750,7220815	1577,653395	2551,73286	3870,978473	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,608923183	0,223243496	0,442579401	0,529672181
1539203	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	2,307653	informator	e	2,351202	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	734,3354653	1800,645905	2598,194478	3914,197696	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,586777033	0,582897428	0,530226735	0,600781012
1539348	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali - segmenty.txt	3,256614	informator	a	3,318557	K18-2001-Niedzica	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali	699,8977339	1629,885503	2590,551259	3754,933866	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,5402352	0,30748616	0,515808216	0,338743338
954195	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda - segmenty.txt	1,843419	informator	a	1,898239	K18-2001-Niedzica	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda	688,6214953	1703,626171	2606,077639	3887,084958	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,524995613	0,426418949	0,545097893	0,556172271
953836	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda - segmenty.txt	3,382342	informator	a	3,428025	K18-2001-Niedzica	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda	679,6223018	1655,310141	2560,930795	3959,008772	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,512833402	0,34849234	0,45993081	0,674508927
1539237	K18-2001-Niedzica-571230-575980-Otworzyła,tAta,ścigÁł - segmenty.txt	1,246625	informator	a	1,289648	K18-2001-Niedzica	K18-2001-Niedzica-571230-575980-Otworzyła,tAta,ścigÁł	677,2014859	1712,594175	2583,738816	3895,496154	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,509561723	0,440883013	0,502956909	0,570011259
1539464	M12-1998-Niedzica-143087-147560-tÉż,I,wYchodzi,psA,tO,byŁo - segmenty.txt	2,601077	informator	a	2,678919	M12-1998-Niedzica	M12-1998-Niedzica-143087-147560-tÉż,I,wYchodzi,psA,tO,byŁo	673,5264448	1618,138888	2508,102176	3877,586183	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	1	0,67194279	0,712105022	0,833754901
954721	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA - segmenty.txt	4,191851	informator	a	4,267228	K18-2001-Niedzica	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA	669,9667318	1655,411032	2568,571089	3845,450708	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,499784112	0,348655063	0,474343812	0,487671207
954538	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY - segmenty.txt	1,592982	informator	a	1,665523	M12-1998-Niedzica	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY	667,8594018	1358,171531	2357,113688	3737,614783	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,984181317	0,337809836	0,510708521	0,467430175
